Bloque,Subtema,Nombre normalizado,URL,Fuente,Utilidad didáctica,Estado,Método de incorporación,DOCX puente,Tipo de duda,Modo pedagógico,Ejemplo de pregunta
ortografía,acentuación y grafías,Ortografía — DPD — abecedario,https://www.rae.es/dpd/abecedario,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar abecedario.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de abecedario en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — abreviatura,https://www.rae.es/dpd/abreviatura,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar abreviatura.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de abreviatura en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — acento,https://www.rae.es/dpd/acento,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acento.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de acento en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — acentuación,https://www.rae.es/dpd/acentuaci%C3%B3n,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acentuación.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de acentuación en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — acortamiento,https://www.rae.es/dpd/acortamiento,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acortamiento.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de acortamiento en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — acrónimo,https://www.rae.es/dpd/acr%C3%B3nimo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acrónimo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de acrónimo en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — años,https://www.rae.es/dpd/a%C3%B1os,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar años.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de años en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — apóstrofo,https://www.rae.es/dpd/ap%C3%B3strofo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar apóstrofo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de apóstrofo en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — asterisco,https://www.rae.es/dpd/asterisco,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar asterisco.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de asterisco en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — barra,https://www.rae.es/dpd/barra,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar barra.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de barra en mi frase?
gramática,morfología y clases de palabras,Gramática — DPD — cardinales,https://www.rae.es/dpd/cardinales,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar cardinales.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de cardinales en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — ceceo,https://www.rae.es/dpd/ceceo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar ceceo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de ceceo en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — colores,https://www.rae.es/dpd/colores,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar colores.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de colores en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — coma,https://www.rae.es/dpd/coma,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar coma.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de coma en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — comillas,https://www.rae.es/dpd/comillas,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar comillas.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de comillas en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — concordancia,https://www.rae.es/dpd/concordancia,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar concordancia.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de concordancia en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — corchete,https://www.rae.es/dpd/corchete,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar corchete.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de corchete en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — dequeísmo,https://www.rae.es/dpd/deque%C3%ADsmo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar dequeísmo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de dequeísmo en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — días de la semana,https://www.rae.es/dpd/d%C3%ADas%20de%20la%20semana,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar días de la semana.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de días de la semana en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — diéresis,https://www.rae.es/dpd/di%C3%A9resis,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar diéresis.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de diéresis en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — diptongo,https://www.rae.es/dpd/diptongo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar diptongo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de diptongo en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — dos puntos,https://www.rae.es/dpd/dos%20puntos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar dos puntos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de dos puntos en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — español,https://www.rae.es/dpd/espa%C3%B1ol,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar español.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de español en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — fecha,https://www.rae.es/dpd/fecha,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar fecha.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de fecha en mi frase?
gramática,morfología y clases de palabras,Gramática — DPD — fraccionarios,https://www.rae.es/dpd/fraccionarios,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar fraccionarios.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de fraccionarios en mi frase?
gramática,morfología y clases de palabras,Gramática — DPD — género,https://www.rae.es/dpd/g%C3%A9nero,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar género.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de género en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — gerundio,https://www.rae.es/dpd/gerundio,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar gerundio.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de gerundio en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — guion,https://www.rae.es/dpd/guion,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar guion.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de guion en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — hiato,https://www.rae.es/dpd/hiato,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar hiato.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de hiato en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — hora,https://www.rae.es/dpd/hora,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar hora.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de hora en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — laísmo,https://www.rae.es/dpd/la%C3%ADsmo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar laísmo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de laísmo en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — leísmo,https://www.rae.es/dpd/le%C3%ADsmo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar leísmo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de leísmo en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — llamada de nota,https://www.rae.es/dpd/llamada%20de%20nota,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar llamada de nota.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de llamada de nota en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — llave,https://www.rae.es/dpd/llave,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar llave.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de llave en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — loísmo,https://www.rae.es/dpd/lo%C3%ADsmo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar loísmo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de loísmo en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — mayúsculas,https://www.rae.es/dpd/may%C3%BAsculas,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar mayúsculas.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de mayúsculas en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — multiplicativos,https://www.rae.es/dpd/multiplicativos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar multiplicativos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de multiplicativos en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — numerales,https://www.rae.es/dpd/numerales,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar numerales.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de numerales en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — números,https://www.rae.es/dpd/n%C3%BAmeros,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar números.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de números en mi frase?
gramática,morfología y clases de palabras,Gramática — DPD — ordinales,https://www.rae.es/dpd/ordinales,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar ordinales.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de ordinales en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — paréntesis,https://www.rae.es/dpd/par%C3%A9ntesis,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar paréntesis.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de paréntesis en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — párrafo,https://www.rae.es/dpd/p%C3%A1rrafo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar párrafo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de párrafo en mi frase?
gramática,morfología y clases de palabras,Gramática — DPD — plural,https://www.rae.es/dpd/plural,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar plural.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de plural en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — porcentajes,https://www.rae.es/dpd/porcentajes,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar porcentajes.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de porcentajes en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — prefijos,https://www.rae.es/dpd/prefijos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar prefijos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de prefijos en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — premios,https://www.rae.es/dpd/premios,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar premios.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de premios en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — pronombres personales,https://www.rae.es/dpd/pronombres%20personales,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar pronombres personales.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de pronombres personales en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — pronombres personales átonos,https://www.rae.es/dpd/pronombres%20personales%20%C3%A1tonos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar pronombres personales átonos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de pronombres personales átonos en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — pronombres personales tónicos,https://www.rae.es/dpd/pronombres%20personales%20t%C3%B3nicos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar pronombres personales tónicos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de pronombres personales tónicos en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — punto,https://www.rae.es/dpd/punto,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar punto.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de punto en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — puntos suspensivos,https://www.rae.es/dpd/puntos%20suspensivos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar puntos suspensivos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de puntos suspensivos en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — punto y coma,https://www.rae.es/dpd/punto%20y%20coma,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar punto y coma.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de punto y coma en mi frase?
sintaxis,construcción y relaciones sintácticas,Sintaxis — DPD — queísmo,https://www.rae.es/dpd/que%C3%ADsmo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar queísmo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de queísmo en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — raya,https://www.rae.es/dpd/raya,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar raya.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de raya en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — seseo,https://www.rae.es/dpd/seseo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar seseo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de seseo en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — sigla,https://www.rae.es/dpd/sigla,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar sigla.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de sigla en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — siglos,https://www.rae.es/dpd/siglos,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar siglos.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de siglos en mi frase?
puntuación,signos y delimitación,Puntuación — DPD — signos de interrogación y exclamación,https://www.rae.es/dpd/signos%20de%20interrogaci%C3%B3n%20y%20exclamaci%C3%B3n,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar signos de interrogación y exclamación.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de signos de interrogación y exclamación en mi frase?
