codigo,bloque,subbloque,tipo_prueba,comando,fenomeno,pregunta,D1_correccion,D1_justificacion,D2_diagnostico,D2_justificacion,D3_socratismo_adaptacion,D3_justificacion,D4_claridad,D4_justificacion,D5_matices,D5_justificacion,D6_fidelidad_documental,D6_justificacion,D7_transferencia_seguridad,D7_justificacion,incidencias,valoracion_global,media_caso,mejora_recomendada,fuente_evaluacion
O6,A,A3,Pregunta sin comando explícito,Sin comando explícito,Mayúsculas en cargos,¿Debo escribir «el Rector de la Universidad» con mayúscula inicial?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Mayúsculas en cargos.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md
T1,A,A4,Pregunta sin comando explícito,Sin comando explícito,Siglas en plural,¿Es correcto escribir «ONGs»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Siglas en plural.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
T2,A,A4,Pregunta sin comando explícito,Sin comando explícito,Símbolos de unidades,"¿Qué forma es correcta: «10km», «10 km» o «10 kms.»?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Símbolos de unidades.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
T3,A,A4,Pregunta sin comando explícito,Sin comando explícito,Cursiva en extranjerismos,¿Tengo que escribir «feedback» en cursiva?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Cursiva en extranjerismos.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
T4,A,A4,Pregunta sin comando explícito,Sin comando explícito,Comillas y cursiva,"Si menciono una palabra como palabra, por ejemplo «pero», ¿debo ponerla entre comillas o en cursiva?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Comillas y cursiva.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md
P1,A,A5,Pregunta sin comando explícito,Sin comando explícito,Coma entre sujeto y verbo,"¿Está bien la coma en «Los estudiantes de primero, entregaron el trabajo»?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Coma entre sujeto y verbo.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P2,A,A5,Pregunta sin comando explícito,Sin comando explícito,Vocativo,¿Va coma en «Gracias Ana»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Vocativo.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P3,A,A5,Pregunta sin comando explícito,Sin comando explícito,Coma con conectores,¿Está bien puntuada esta frase: «No obstante el resultado fue positivo»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Coma con conectores.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P4,A,A5,Pregunta sin comando explícito,Sin comando explícito,Punto y coma,¿Cuándo conviene usar punto y coma en una enumeración?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Punto y coma.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P5,A,A5,Pregunta sin comando explícito,Sin comando explícito,Dos puntos,¿Después de dos puntos va siempre mayúscula?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Dos puntos.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
P6,A,A5,Pregunta sin comando explícito,Sin comando explícito,Puntuación con paréntesis,¿El punto va antes o después del paréntesis en «El resultado fue positivo (aunque inesperado).»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Puntuación con paréntesis.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md
L1,A,A6,Pregunta sin comando explícito,Sin comando explícito,Falso amigo,¿Puedo traducir «actually» por «actualmente»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Falso amigo.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L2,A,A6,Pregunta sin comando explícito,Sin comando explícito,Parónimos,¿Qué diferencia hay entre «actitud» y «aptitud»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Parónimos.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L3,A,A6,Pregunta sin comando explícito,Sin comando explícito,Impropiedad léxica,¿Está bien decir «aperturar un expediente»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Impropiedad léxica.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L4,A,A6,Pregunta sin comando explícito,Sin comando explícito,Asequible / accesible,¿Es lo mismo «asequible» que «accesible»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Asequible / accesible.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
L5,A,A6,Pregunta sin comando explícito,Sin comando explícito,Eficaz / eficiente / efectivo,"¿Qué diferencia hay entre «eficaz», «eficiente» y «efectivo»?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Eficaz / eficiente / efectivo.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md
E1,A,A7,Pregunta sin comando explícito,Sin comando explícito,Verbos soporte,¿Puedes mejorar «procederemos a realizar una revisión del documento»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Verbos soporte.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I2,Adecuado alto,3.57,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E2,A,A7,Pregunta sin comando explícito,Sin comando explícito,Redundancia,¿Está mal decir «volver a repetir»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Redundancia.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado con reservas,3.14,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E3,A,A7,Pregunta sin comando explícito,Sin comando explícito,Registro académico,¿Suena académico escribir «yo creo que este trabajo demuestra…»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Registro académico.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",1,"El tutor declara falta, insuficiencia o ausencia de cobertura documental y, pese a ello, ofrece una regla, explicación o recomendación sustantiva; se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado alto,3.29,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o incorporar una fuente verificable antes de formular la regla.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
E4,A,A7,Pregunta sin comando explícito,Sin comando explícito,Cohesión textual,Mi párrafo usa «además» en casi todas las frases. ¿Es un problema?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Cohesión textual.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado con reservas,3.14,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md
C1,B,B1,Pregunta con comando de interacción,Solución directa,Solución directa: laísmo,Solución directa: ¿Está bien escrito «La dije que viniera»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Solución directa: laísmo.,4,Se adapta correctamente al comando «Solución directa».,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B1.md
